Id,Board_symbol,Factor,Move_value,Update
1,000010000,0,1,true
2,020010000,-382,2,true
3,010012000,92,1,true
4,220110000,-24,2,true
5,112012000,-40,1,true
6,112012200,-50,2,true
7,112112200,-150,1,true
8,112112220,-175,2,true
9,112112221,480,1,true
10,010000000,0,1,true
11,200001000,-123,2,true
12,200011000,182,1,true
13,220010010,-27,2,true
14,102112000,0,1,true
15,102112020,-175,2,true
16,120112102,120,1,true
17,100000000,0,1,true
18,120000000,-149,2,true
19,121000000,48,1,true
20,121000002,-9,2,true
21,121100002,8,1,true
22,121100202,30,2,true
23,121101202,-60,1,true
24,112202112,105,2,true
25,102000000,-99,2,true
26,102001000,66,1,true
27,122001000,-120,2,true
28,112002001,40,1,true
29,112002201,-25,2,true
30,112012201,30,1,true
31,210000000,-75,2,true
32,210001000,34,1,true
33,202001010,15,2,true
34,112100002,-20,1,true
35,112100022,-25,2,true
36,111201202,60,1,true
37,200010000,-219,2,true
38,210010000,334,1,true
39,202110000,-15,2,true
40,112010002,16,1,true
41,112010202,-100,2,true
42,112011202,-60,1,true
43,112211202,-315,2,true
44,122111212,500,1,true
45,100000002,-107,2,true
46,100001002,10,1,true
47,100021002,-18,2,true
48,112020100,-20,1,true
49,112022100,50,2,true
50,112022110,-30,1,true
51,112222110,105,2,true
52,010020000,53,2,true
53,010021000,-46,1,true
54,210021000,3,2,true
55,210021010,-20,1,true
56,212021010,0,2,true
57,112121002,-30,1,true
58,112121022,-140,2,true
59,122121112,500,1,true
60,010002000,-53,2,true
61,120100000,104,1,true
62,112200000,-57,2,true
63,112210000,88,1,true
64,112212000,-125,2,true
65,121011022,0,1,true
66,121211022,-315,2,true
67,121212112,480,1,true
68,010200000,-124,2,true
69,010201000,30,1,true
70,220001010,-15,2,true
71,220011010,0,1,true
72,220011012,-75,2,true
73,112211200,180,1,true
74,122112210,-350,2,true
75,122112211,500,1,true
76,100002000,-132,2,true
77,100002100,30,1,true
78,121000020,0,2,true
79,101202001,-20,1,true
80,122000121,-25,2,true
81,122001121,30,1,true
82,122021121,210,2,true
83,102010000,190,1,true
84,102010020,-27,2,true
85,112010020,24,1,true
86,120112200,-140,2,true
87,121211002,72,1,true
88,121211202,56,2,true
89,122211112,320,1,true
90,100020000,-7,2,true
91,101020000,-10,1,true
92,120020100,15,2,true
93,121020001,-20,1,true
94,121022001,50,2,true
95,121022101,-60,1,true
96,121222101,105,2,true
97,010000020,-37,2,true
98,010010020,54,1,true
99,200112000,-51,2,true
100,102211000,96,1,true
101,120012210,-85,2,true
102,112211020,114,1,true
103,112211022,133,2,true
104,120000001,30,1,true
105,102200001,-30,2,true
106,102210001,80,1,true
107,010210000,248,1,true
108,210012000,-108,2,true
109,102011020,20,1,true
110,102012210,0,2,true
111,112011220,-60,1,true
112,112011222,385,2,true
113,120010000,500,1,true
114,122010000,-174,2,true
115,122011000,152,1,true
116,122011200,-100,2,true
117,122011210,240,1,true
118,122211210,-385,2,true
119,210000010,50,1,true
120,210020010,90,2,true
121,210121000,-40,1,true
122,210021012,25,2,true
123,100010002,92,1,true
124,102010002,-66,2,true
125,102010102,-36,1,true
126,121010202,60,2,true
127,102211102,6,1,true
128,121012212,63,2,true
129,121112212,344,1,true
130,110002000,10,1,true
131,110202000,-30,2,true
132,111202000,80,1,true
133,102100000,70,1,true
134,102102000,45,2,true
135,112102000,-80,1,true
136,112102200,75,2,true
137,112102210,-120,1,true
138,112102212,210,2,true
139,100012000,166,1,true
140,100012002,81,2,true
141,100112002,-116,1,true
142,110012022,50,2,true
143,110012122,0,1,true
144,112012122,315,2,true
145,210010002,-45,2,true
146,112010200,40,1,true
147,122110200,-150,2,true
148,122111200,90,1,true
149,010212000,-150,2,true
150,110212000,120,1,true
151,110212002,0,2,true
152,120111022,90,1,true
153,100002001,42,1,true
154,102000021,3,2,true
155,112000021,4,1,true
156,120102201,5,2,true
157,121102201,6,1,true
158,121122201,14,2,true
159,121122211,88,1,true
160,100002010,72,1,true
161,100002012,39,2,true
162,110001022,-72,1,true
163,110021022,25,2,true
164,110122012,-90,1,true
165,112122012,350,2,true
166,010001020,34,1,true
167,210102000,-36,2,true
168,112201000,36,1,true
169,112201020,-15,2,true
170,121102210,6,1,true
171,121122210,14,2,true
172,110000002,92,1,true
173,120100002,-30,2,true
174,120101002,80,1,true
175,120101202,0,2,true
176,120111202,90,1,true
177,100102000,94,1,true
178,100102002,-12,2,true
179,102102100,40,1,true
180,010210020,-129,2,true
181,120112000,96,1,true
182,120112020,-125,2,true
183,111212020,180,1,true
184,100012200,-135,2,true
185,110012200,100,1,true
186,122110020,-300,2,true
187,122111020,300,1,true
188,120000010,94,1,true
189,120002010,-57,2,true
190,121002010,-20,1,true
191,121202010,25,2,true
192,121202011,0,1,true
193,121222011,70,2,true
194,220011000,-75,2,true
195,122110000,240,1,true
196,122112000,-25,2,true
197,122112010,0,1,true
198,122112012,315,2,true
199,100020001,4,1,true
200,102020001,30,2,true
201,102020101,0,1,true
202,102022101,-75,2,true
203,102122101,60,1,true
204,101002000,142,1,true
205,101002200,-30,2,true
206,101002210,20,1,true
207,101002212,-75,2,true
208,101012212,66,1,true
209,122011122,-315,2,true
210,122111122,360,1,true
211,102000100,78,1,true
212,122000100,-12,2,true
213,122000110,20,1,true
214,122002110,-50,2,true
215,122012110,30,1,true
216,122212110,-245,2,true
217,122212111,200,1,true
218,100021000,10,1,true
219,120020010,-12,2,true
220,101221000,40,1,true
221,121221000,-25,2,true
222,111022021,30,1,true
223,120001000,128,1,true
224,120001002,-42,2,true
225,120001102,20,1,true
226,121200012,-25,2,true
227,121210012,102,1,true
228,121212012,-350,2,true
229,010002010,30,1,true
230,210002010,-75,2,true
231,110002210,20,1,true
232,110002212,-25,2,true
233,111002212,90,1,true
234,110020000,88,1,true
235,100122000,-114,2,true
236,101122000,64,1,true
237,121122000,5,2,true
238,121022011,12,1,true
239,121022211,21,2,true
240,200012010,-237,2,true
241,210011020,272,1,true
242,212011020,-120,2,true
243,212111020,210,1,true
244,120012000,-213,2,true
245,121012000,144,1,true
246,121012200,-70,2,true
247,121012201,120,1,true
248,210012010,200,1,true
249,202011000,-105,2,true
250,102010012,92,1,true
251,102011202,-100,2,true
252,112010212,120,1,true
253,120010020,-180,2,true
254,120011020,140,1,true
255,120011022,-100,2,true
256,122011120,150,1,true
257,121212210,-350,2,true
258,121212211,500,1,true
259,102000010,82,1,true
260,102020010,45,2,true
261,102020011,0,1,true
262,122020011,-25,2,true
263,122120011,30,1,true
264,122122011,-105,2,true
265,122122111,120,1,true
266,120010200,-117,2,true
267,120011200,4,1,true
268,120011202,-110,2,true
269,112210102,-30,1,true
270,112212102,175,2,true
271,110002020,-45,2,true
272,120201001,80,1,true
273,122200011,-50,2,true
274,121201201,120,1,true
275,202010010,-15,2,true
276,102110002,80,1,true
277,102112002,175,2,true
278,010020010,-74,1,true
279,200121000,36,2,true
280,100121002,24,1,true
281,120121002,-20,2,true
282,120121012,90,1,true
283,112221012,70,2,true
284,112221112,72,1,true
285,112000000,-60,1,true
286,112000002,18,2,true
287,112000012,-80,1,true
288,112000212,25,2,true
289,112001212,60,1,true
290,112021212,280,2,true
291,120110002,32,1,true
292,122110002,-200,2,true
293,122111002,180,1,true
294,010012020,-12,2,true
295,120012010,8,1,true
296,120012012,35,2,true
297,120112012,-90,1,true
298,120000012,12,2,true
299,120010012,80,1,true
300,102211002,-50,2,true
301,112211002,132,1,true
302,101000002,110,1,true
303,101020002,-15,2,true
304,101021002,44,1,true
305,101021022,25,2,true
306,122021101,0,1,true
307,122221101,-210,2,true
308,122221111,440,1,true
309,102021000,-12,2,true
310,101020012,68,1,true
311,121020012,-45,2,true
312,121120012,36,1,true
313,121122012,-105,2,true
314,121122112,280,1,true
315,120011002,172,1,true
316,120211002,-105,2,true
317,120211012,18,1,true
318,122211012,126,2,true
319,212010000,-177,2,true
320,212110000,100,1,true
321,212110020,-70,2,true
322,120011212,90,1,true
323,122011212,-455,2,true
324,120010002,-114,2,true
325,121010002,44,1,true
326,121210002,-70,2,true
327,121210102,30,1,true
328,100022010,60,2,true
329,120021100,-20,1,true
330,101222010,25,2,true
331,010220010,33,2,true
332,010221010,-16,1,true
333,220121010,0,2,true
334,112122010,-120,1,true
335,112122210,140,2,true
336,010211020,24,1,true
337,220112010,-10,2,true
338,112112020,0,1,true
339,112112022,350,2,true
340,210211000,28,1,true
341,210211002,-100,2,true
342,220111012,120,1,true
343,210201000,66,2,true
344,122001010,44,1,true
345,122201010,-65,2,true
346,122211010,120,1,true
347,010022010,3,2,true
348,120121000,-60,1,true
349,112220010,25,2,true
350,110022211,-30,1,true
351,112022211,35,2,true
352,010201020,-54,2,true
353,110102020,60,1,true
354,112102020,-25,2,true
355,122201011,60,1,true
356,122201211,-105,2,true
357,122211211,320,1,true
358,100002102,-30,2,true
359,100012102,40,1,true
360,121010022,-50,2,true
361,122010121,120,1,true
362,102000001,92,1,true
363,120000201,-15,2,true
364,102201001,0,1,true
365,102221001,-45,2,true
366,121020211,60,1,true
367,120021000,18,2,true
368,120021001,0,1,true
369,122021001,25,2,true
370,101022112,0,1,true
371,121022112,-140,2,true
372,120000102,-27,2,true
373,120010102,4,1,true
374,122010102,50,2,true
375,122010112,-150,1,true
376,122012112,245,2,true
377,121020000,0,2,true
378,101022001,-60,1,true
379,101222001,100,2,true
380,112000020,0,2,true
381,101201002,-40,1,true
382,120002112,50,2,true
383,120012112,-30,1,true
384,010200010,2,1,true
385,010202010,-30,2,true
386,110202010,60,1,true
387,112202010,-50,2,true
388,122101021,30,1,true
389,112202211,-105,2,true
390,112212211,120,1,true
391,120102000,-87,2,true
392,120102010,24,1,true
393,120102012,-15,2,true
394,122201110,12,1,true
395,122201112,49,2,true
396,200101000,-30,1,true
397,200101002,0,2,true
398,210101002,-20,1,true
399,212101002,50,2,true
400,212101012,-30,1,true
401,212121012,105,2,true
402,210100000,52,1,true
403,212001000,-30,2,true
404,212101000,20,1,true
405,212001012,-50,2,true
406,212011012,180,1,true
407,010221000,-24,2,true
408,110122000,80,1,true
409,112120020,-50,2,true
410,111221002,120,1,true
411,112210002,80,2,true
412,121110202,-12,1,true
413,121112202,63,2,true
414,200011002,-75,2,true
415,210011002,40,1,true
416,212011002,-100,2,true
417,212111002,60,1,true
418,210112000,64,1,true
419,212112000,0,2,true
420,112011022,-132,1,true
421,112002000,30,2,true
422,101001022,-60,1,true
423,102002112,75,2,true
424,102000102,-27,2,true
425,102001102,64,1,true
426,122001102,-25,2,true
427,122101102,60,1,true
428,120210000,-114,2,true
429,120211000,172,1,true
430,120212010,-125,2,true
431,120112021,60,1,true
432,110221000,56,1,true
433,112221000,50,2,true
434,112021021,-54,1,true
435,112221021,28,2,true
436,210001020,-51,2,true
437,210102010,0,1,true
438,212201010,-75,2,true
439,212211010,270,1,true
440,220101000,15,2,true
441,122101000,100,1,true
442,122101002,-75,2,true
443,122101012,120,1,true
444,122101212,-350,2,true
445,112020000,78,2,true
446,102021001,-40,1,true
447,102021201,100,2,true
448,122010010,44,1,true
449,122012010,-50,2,true
450,122012011,30,1,true
451,102021100,24,1,true
452,102021102,-15,2,true
453,102121102,60,1,true
454,200001010,10,1,true
455,200021010,60,2,true
456,110021200,-40,1,true
457,112021200,175,2,true
458,010021020,24,2,true
459,110021020,-32,1,true
460,112021020,5,2,true
461,120021112,36,1,true
462,121221012,35,2,true
463,121221112,56,1,true
464,122010012,55,2,true
465,122110012,0,1,true
466,120001020,-75,2,true
467,101202010,20,1,true
468,122001120,-25,2,true
469,122101120,30,1,true
470,102100002,-15,2,true
471,110001202,20,1,true
472,122100012,-25,2,true
473,101202000,-45,2,true
474,121000021,20,1,true
475,120202101,-25,2,true
476,120212101,30,1,true
477,102001200,-15,2,true
478,102101200,20,1,true
479,112002210,-25,2,true
480,112012210,30,1,true
481,102001002,-39,2,true
482,102101002,20,1,true
483,102101022,0,2,true
484,112101022,-30,1,true
485,102000201,0,2,true
486,102001201,-20,1,true
487,122001201,-25,2,true
488,122101201,-30,1,true
489,122121201,105,2,true
490,120002001,-30,2,true
491,120102001,20,1,true
492,122102001,-25,2,true
493,122102101,60,1,true
494,120201000,-96,2,true
495,120201010,44,1,true
496,120221010,-50,2,true
497,121221010,30,1,true
498,122221110,-70,2,true
499,122000010,-45,2,true
500,102102001,-20,1,true
501,102102201,25,2,true
502,112102201,-30,1,true
503,112122201,70,2,true
504,102010200,-30,2,true
505,102011200,40,1,true
506,122010210,-75,2,true
507,102112201,60,1,true
508,110012002,-40,1,true
509,112012002,150,2,true
510,102201000,24,2,true
511,121000012,16,1,true
512,121000212,20,2,true
513,112201102,18,1,true
514,112221102,42,2,true
515,121121212,168,1,true
516,110012020,180,1,true
517,112012020,-25,2,true
518,122211001,120,1,true
519,120120000,6,2,true
520,100022011,60,1,true
521,120022011,-45,2,true
522,120022111,60,1,true
523,121000200,-54,2,true
524,121000210,24,1,true
525,121002210,-25,2,true
526,121012210,96,1,true
527,112212121,160,1,true
528,102120001,-20,1,true
529,122120001,25,2,true
530,122121001,-120,1,true
531,122121021,140,2,true
532,100212000,-45,2,true
533,100212001,40,1,true
534,212010010,100,1,true
535,010112020,-16,1,true
536,220211010,50,2,true
537,110112022,-90,1,true
538,112001020,-16,1,true
539,112001220,75,2,true
540,112201201,-60,1,true
541,112221201,70,2,true
542,112000200,15,2,true
543,112000210,-20,1,true
544,112020210,75,2,true
545,102000012,-39,2,true
546,112000102,20,1,true
547,112020102,-25,2,true
548,112120102,60,1,true
549,120200001,0,2,true
550,121200001,-20,1,true
551,121220001,25,2,true
552,121220101,-30,1,true
553,102012000,-45,2,true
554,102012010,20,1,true
555,102012012,175,2,true
556,210112020,-20,2,true
557,200001012,-15,2,true
558,200011012,40,1,true
559,202011012,-75,2,true
560,202111012,60,1,true
561,102002100,-45,2,true
562,112002100,20,1,true
563,112202100,-25,2,true
564,112212100,60,1,true
565,121112220,-175,2,true
566,121112221,360,1,true
567,120020011,88,1,true
568,120221001,-100,2,true
569,120221011,90,1,true
570,122221011,-140,2,true
571,102011002,144,1,true
572,102011022,5,2,true
573,110012212,30,1,true
574,110002200,-45,2,true
575,110102200,0,1,true
576,110102202,0,2,true
577,110112202,-150,1,true
578,112112202,420,2,true
579,102001012,68,1,true
580,122001012,-20,2,true
581,122011012,90,1,true
582,121200000,-15,2,true
583,101002021,-20,1,true
584,120002121,0,2,true
585,121002121,30,1,true
586,121202121,-35,2,true
587,121212121,40,1,true
588,112100020,0,1,true
589,112121020,0,1,true
590,110021002,-8,1,true
591,110221002,-10,2,true
592,121021210,36,1,true
593,121021212,49,2,true
594,110002002,-90,2,true
595,110102002,20,1,true
596,110102022,-75,2,true
597,122102110,60,1,true
598,121210000,60,1,true
599,122210100,-15,2,true
600,102012121,180,1,true
601,102001020,-42,2,true
602,102101020,80,1,true
603,102121020,25,2,true
604,120121102,30,1,true
605,110022000,-30,2,true
606,111220000,40,1,true
607,122100010,40,1,true
608,122102010,-50,2,true
609,122102011,60,1,true
610,122102211,-140,2,true
611,102020100,-27,2,true
612,111020200,60,1,true
613,101012200,44,1,true
614,122010120,-100,2,true
615,111212200,90,1,true
616,101022000,-45,2,true
617,111022000,40,1,true
618,102002010,-60,2,true
619,102102010,-60,1,true
620,102122010,25,2,true
621,102122011,-30,1,true
622,112021221,175,2,true
623,101102200,20,1,true
624,121102200,-50,2,true
625,121002211,30,1,true
626,122201121,-70,2,true
627,122211121,160,1,true
628,101212000,100,1,true
629,120012120,-150,2,true
630,120012121,60,1,true
631,101021020,-60,1,true
632,120022110,25,2,true
633,121022110,-30,1,true
634,121222110,105,2,true
635,212000010,-30,2,true
636,212100010,60,1,true
637,212102010,-25,2,true
638,212112010,30,1,true
639,120001012,28,1,true
640,120021012,-10,2,true
641,112221100,6,1,true
642,210010012,60,1,true
643,110022010,-20,1,true
644,112022010,100,2,true
645,110022112,-150,1,true
